Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11204,"Bensonhurst, Mapleton",11226,Flatbush,driving,3.1,21
11204,"Bensonhurst, Mapleton",11226,Flatbush,bicycling,3.0,19
11204,"Bensonhurst, Mapleton",11228,Dyker Heights,driving,2.4,13
11204,"Bensonhurst, Mapleton",11228,Dyker Heights,bicycling,3.1,19
11204,"Bensonhurst, Mapleton",11229,"Sheepshead Bay, Madison",driving,3.6,19
11204,"Bensonhurst, Mapleton",11229,"Sheepshead Bay, Madison",bicycling,3.5,21
11204,"Bensonhurst, Mapleton",11230,Midwood,driving,1.4,9
11204,"Bensonhurst, Mapleton",11230,Midwood,bicycling,1.4,9
11204,"Bensonhurst, Mapleton",11231,"Carroll Gardens, Red Hook",driving,6.1,23
11204,"Bensonhurst, Mapleton",11231,"Carroll Gardens, Red Hook",bicycling,6.1,35
11204,"Bensonhurst, Mapleton",11232,"Sunset Park, Industry City",driving,4.2,21
11204,"Bensonhurst, Mapleton",11232,"Sunset Park, Industry City",bicycling,3.4,22
11204,"Bensonhurst, Mapleton",11233,"Bedford-Stuyvesant, Ocean Hill",driving,7.3,41
11204,"Bensonhurst, Mapleton",11233,"Bedford-Stuyvesant, Ocean Hill",bicycling,7.4,43
11204,"Bensonhurst, Mapleton",11234,"Marine Park, Mill Basin",driving,12.5,28
11204,"Bensonhurst, Mapleton",11234,"Marine Park, Mill Basin",bicycling,7.4,41
11204,"Bensonhurst, Mapleton",11235,"Brighton Beach, Manhattan Beach",driving,4.9,23
11204,"Bensonhurst, Mapleton",11235,"Brighton Beach, Manhattan Beach",bicycling,4.6,27
11204,"Bensonhurst, Mapleton",11236,"Canarsie, Bergen Beach",driving,10.6,28
11204,"Bensonhurst, Mapleton",11236,"Canarsie, Bergen Beach",bicycling,5.8,34
11204,"Bensonhurst, Mapleton",11238,"Prospect Heights, Clinton Hill",driving,6.1,28
11204,"Bensonhurst, Mapleton",11238,"Prospect Heights, Clinton Hill",bicycling,5.7,33
11204,"Bensonhurst, Mapleton",11239,Starrett City,driving,12.2,29
11204,"Bensonhurst, Mapleton",11239,Starrett City,bicycling,8.8,47
11205,"Fort Greene, Clinton Hill",11201,"Brooklyn Heights, DUMBO",driving,4.8,19
11205,"Fort Greene, Clinton Hill",11201,"Brooklyn Heights, DUMBO",bicycling,2.1,14
11205,"Fort Greene, Clinton Hill",11203,"East Flatbush, Erasmus",driving,4.2,24
11205,"Fort Greene, Clinton Hill",11203,"East Flatbush, Erasmus",bicycling,4.2,26
11205,"Fort Greene, Clinton Hill",11204,"Bensonhurst, Mapleton",driving,9.9,34
11205,"Fort Greene, Clinton Hill",11204,"Bensonhurst, Mapleton",bicycling,6.6,39
11205,"Fort Greene, Clinton Hill",11206,"Williamsburg, Bushwick",driving,1.4,10
11205,"Fort Greene, Clinton Hill",11206,"Williamsburg, Bushwick",bicycling,1.5,9
